date_id,datetime_id,market,rpt_key,last,diff_24h,diff_per_24h,bid,ask,low,high,volume,created_at,updated_at
2017-06-01,2017-06-01 10:29:00,bitflyer,btc_jpy,268104,263764,1.645410291,268104,268199,268104,268199,65624.5004973,2017-06-01 01:28:38,2017-06-01 01:28:38
2017-06-01,2017-06-01 10:29:00,korbit,btc_krw,3052000,3141000,-2.8334925183,3051500,3052500,3002000,3150000,6449.36510803,2017-06-01 01:28:38,2017-06-01 01:28:38
2017-06-01,2017-06-01 10:29:00,bitstamp,btc_usd,2324,2224.5,4.4729152619,2323.49,2324,2154.28,2334,16719.5023576,2017-06-01 01:28:38,2017-06-01 01:28:38
2017-06-01,2017-06-01 10:29:00,okcoin,btc_usd,2435.97,2206.87,10.381218649,2431.89,2434.95,2129.78,2465.37,4945.707,2017-06-01 01:28:38,2017-06-01 01:28:38
2017-06-01,2017-06-01 10:29:00,korbit,etc_krw,22050,24210,-8.9219330855,21630,22050,21000,24340,644219.1458011768,2017-06-01 01:28:38,2017-06-01 01:28:38
2017-06-01,2017-06-01 10:29:00,bitflyer,eth_btc,0.0968,0.1059,-8.5930122757,0.0968,0.09689,0.0968,0.09689,15361.5813196,2017-06-01 01:28:38,2017-06-01 01:28:38
2017-06-01,2017-06-01 10:29:00,korbit,eth_krw,291900,327300,-10.8157653529,291900,292000,274000,329450,245438.0934739389,2017-06-01 01:28:38,2017-06-01 01:28:38
2017-06-01,2017-06-01 10:29:00,bitflyer,fx_btc_jpy,273358,263170,3.871261922,273358,273798,273358,273798,65601.9085691,2017-06-01 01:27:37,2017-06-01 01:27:37
2017-06-01,2017-06-01 10:29:00,okcoin,ltc_usd,27.12,24.623,10.1409251513,27.12,27.121,23.2,27.35,224895.855,2017-06-01 01:28:38,2017-06-01 01:28:38
2017-06-01,2017-06-01 10:30:00,bitstamp,btc_eur,2077.14,1999.06,3.9058357428,2064.97,2077.14,1955.9,2083.99,2142.83169838,2017-06-01 01:29:37,2017-06-01 01:29:37
2017-06-01,2017-06-01 10:30:00,bitflyer,btc_jpy,268199,263800,1.6675511751,268130,268199,268130,268199,65601.2055239,2017-06-01 01:29:37,2017-06-01 01:29:37
2017-06-01,2017-06-01 10:30:00,korbit,btc_krw,3054000,3141000,-2.7698185291,3054000,3054500,3002000,3150000,6453.14064224,2017-06-01 01:29:37,2017-06-01 01:29:37
